Data;Origem;Soma de Captação
21/07/2021;Onshore;-11180106,53
22/07/2021;Onshore;1889519,57
23/07/2021;Onshore;3227703,62
26/07/2021;Offshore;-248,9424
26/07/2021;Onshore;49330,37
27/07/2021;Onshore;-3287074,05
28/07/2021;Onshore;713722,14
29/07/2021;Onshore;3975379,97
30/07/2021;Offshore;-9445,357152
30/07/2021;Onshore;398254,85
02/08/2021;Offshore;-22179,44086
02/08/2021;Onshore;3079049,81
03/08/2021;Onshore;3416847,72
04/08/2021;Offshore;-250,0368
04/08/2021;Onshore;2740159,691
05/08/2021;Onshore;1839391,81
06/08/2021;Onshore;2798423,75
09/08/2021;Onshore;834075,0125
10/08/2021;Onshore;9980918,39
11/08/2021;Onshore;5171656,63
12/08/2021;Onshore;2064917,46
13/08/2021;Onshore;2230921,9
16/08/2021;Offshore;-251,976
16/08/2021;Onshore;978198,59
17/08/2021;Offshore;-252,408
17/08/2021;Onshore;3326390,13
18/08/2021;Onshore;2688939,11
19/08/2021;Onshore;1954019,36
20/08/2021;Onshore;-1291660,185
23/08/2021;Onshore;3510189,3
24/08/2021;Onshore;1931109,17
25/08/2021;Onshore;1179339,261
26/08/2021;Onshore;2285093,31
27/08/2021;Onshore;308083,8219
30/08/2021;Offshore;-30301,15986
30/08/2021;Onshore;706591,7
31/08/2021;Onshore;1054958,75
01/09/2021;Onshore;4287165,74
02/09/2021;Offshore;-4623,608685
02/09/2021;Onshore;206440,0512
03/09/2021;Offshore;-17692,39572
03/09/2021;Onshore;485720,395
06/09/2021;Onshore;-135271,53
08/09/2021;Onshore;189751,7116
09/09/2021;Onshore;7273525,062
10/09/2021;Onshore;5137839,295
13/09/2021;Offshore;-250,512
13/09/2021;Onshore;-119183,1146
14/09/2021;Onshore;4984203,967
15/09/2021;Offshore;-1726142,004
15/09/2021;Onshore;-3816787,986
16/09/2021;Offshore;-4260114
16/09/2021;Onshore;301074,8
17/09/2021;Onshore;1166450,56
20/09/2021;Onshore;-1349156,59
21/09/2021;Onshore;1325713,44
22/09/2021;Offshore;-395872,5
22/09/2021;Onshore;-152361,39
23/09/2021;Offshore;-5955526,6
23/09/2021;Onshore;864189,89
24/09/2021;Offshore;-166984,375
24/09/2021;Onshore;1282403,97
27/09/2021;Onshore;-968846,45
28/09/2021;Offshore;-542060
28/09/2021;Onshore;-705361,03
29/09/2021;Offshore;209499,5591
29/09/2021;Onshore;1416433,12
30/09/2021;Onshore;2971151,69
01/10/2021;Onshore;-1669030,874
04/10/2021;Offshore;-23398,94533
04/10/2021;Onshore;-632254,42
05/10/2021;Onshore;-9348979,55
06/10/2021;Onshore;-197479,1
07/10/2021;Onshore;462119,66
08/10/2021;Onshore;5198624,8
11/10/2021;Onshore;153249,0868
12/10/2021;Offshore;-260,1792
13/10/2021;Onshore;-194765,33
14/10/2021;Onshore;-122331,8489
15/10/2021;Onshore;3377521,7
18/10/2021;Onshore;-130578,76
19/10/2021;Onshore;809636,88
20/10/2021;Onshore;1269606,14
21/10/2021;Onshore;-515887,45
22/10/2021;Onshore;1906713,73
25/10/2021;Onshore;-44769,03
26/10/2021;Onshore;-1101887,29
27/10/2021;Onshore;1181174,45
28/10/2021;Onshore;-624841,1696
29/10/2021;Onshore;-519319,59
01/11/2021;Offshore;-10289,67753
01/11/2021;Onshore;-674664,91
02/11/2021;Offshore;-5066,799474
03/11/2021;Offshore;-302759,5057
03/11/2021;Onshore;-110612,9245
